engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11719800,2,1,32768,0.551,0.553
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11769800,2,1,32768,0.618,0.692
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117b9800,2,1,32768,0.515,0.541
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11359900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113a9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113f9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11449900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11499900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114e9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11539900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11589900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115d9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11629900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11679900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116c9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11719900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11769900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117b9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11319800,2,1,32768,0.551,0.559
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11369800,2,1,32768,0.565,0.611
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113b9800,2,1,32768,0.443,0.452
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11409800,2,1,32768,0.551,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11459800,2,1,32768,0.5475,0.596
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114a9800,2,1,32768,0.5465,0.55
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114f9800,2,1,32768,0.5355,0.574
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11549800,2,1,32768,0.5455,0.554
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11599800,2,1,32768,0.5445,0.548
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115e9800,2,1,32768,0.5305,0.572
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11639800,2,1,32768,0.6315,0.716
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11689800,2,1,32768,0.5395,0.585
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116d9800,2,1,32768,0.6365,0.711
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11729800,2,1,32768,0.6155,0.689
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11779800,2,1,32768,0.569,0.644
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117c9800,2,1,32768,0.6105,0.685
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11319900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11369900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113b9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11409900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11459900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114a9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114f9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11549900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11599900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115e9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11639900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11689900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116d9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11729900,2,1,32768,0.236,0.236
